page_seq,house_seq,title,url,address,area_m2,bedrooms,en_suites,price,bathrooms,parking_spaces,type,street_name,street_number,city,condo_name
2,16,                Casa de condominio com 4 Quartos a Venda 312m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-312m2-venda-RS1500000-id-2482351442/,"                Alameda Cotovia - Aldeia da Serra, Barueri - SP              ",312.0,4.0,3.0,1500000,4.0,6.0,House,Alameda Cotovia,,Barueri SP,Morada dos Pássaros
2,17,                Casa de condominio com 3 Quartos a Venda 490m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-490m2-venda-RS1950000-id-2482475073/,"                Aldeia da Serra, Barueri - SP              ",490.0,3.0,2.0,1950000,3.0,2.0,House,,,Barueri SP,
2,18,                Sobrado com 4 Quartos a Venda 376m2            ,www.vivareal.com.br/imovel/sobrado-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-376m2-venda-RS2500000-id-2484937993/,"                Alameda dos Antúrios - Aldeia da Serra, Santana de Parnaíba - SP              ",376.0,4.0,4.0,2500000,4.0,3.0,House,Alameda dos Antúrios,,Santana de Parnaíba SP,Morada das Flores
2,19,                LoteTerreno    a Venda 450m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-barueri-450m2-venda-RS630000-id-2482351674/,"                Praça da Canoa - Aldeia da Serra, Barueri - SP              ",450.0,,,630000,,,Allotment,Praça da Canoa,,Barueri SP,Morada dos Lagos
2,20,                Casa de condominio com 3 Quartos a Venda 297m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-297m2-venda-RS1000000-id-2447832591/,"                Aldeia da Serra, Santana de Parnaíba - SP              ",297.0,3.0,1.0,1000000,3.0,4.0,House,,,Santana de Parnaíba SP,
2,21,                Casa de condominio com 4 Quartos a Venda 380m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-380m2-venda-RS1600000-id-86433818/,"                Alameda dos Pinhos - Aldeia da Serra, Santana de Parnaíba - SP              ",380.0,4.0,2.0,1600000,4.0,4.0,House,Alameda dos Pinhos,,Santana de Parnaíba SP,Morada dos Pinheiros
2,23,                Casa de condominio com 3 Quartos a Venda 300m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-300m2-venda-RS1400000-id-2482349459/,"                Alameda das Camélias - Aldeia da Serra, Santana de Parnaíba - SP              ",300.0,3.0,3.0,1400000,3.0,4.0,House,Alameda das Camélias,,Santana de Parnaíba SP,Morada das Flores
2,24,                Casa de condominio com 4 Quartos a Venda 270m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-270m2-venda-RS1190000-id-2484837620/,"                Alameda dos Jasmins - Aldeia da Serra, Santana de Parnaíba - SP              ",270.0,4.0,4.0,1190000,4.0,4.0,House,Alameda dos Jasmins,,Santana de Parnaíba SP,Morada das Flores
2,25,                Casa de condominio com 3 Quartos a Venda 300m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-300m2-venda-RS1200000-id-2483924229/,"                Alameda Sabiá - Aldeia da Serra, Barueri - SP              ",300.0,3.0,3.0,1200000,3.0,4.0,House,Alameda Sabiá,,Barueri SP,Morada dos Pássaros
2,26,                Sobrado com 3 Quartos para VendaAluguel 300m2            ,www.vivareal.com.br/imovel/sobrado-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-300m2-venda-RS1990000-id-2450736988/,"                Aldeia da Serra, Barueri - SP              ",300.0,3.0,3.0,1990000,3.0,4.0,House,,,Barueri SP,
2,27,                Casa de condominio com 7 Quartos para VendaAluguel 1590m2            ,www.vivareal.com.br/imovel/casa-de-condominio-7-quartos-aldeia-da-serra-bairros-barueri-com-garagem-1590m2-venda-RS5500000-id-86433232/,"                Alameda Cardeal - Aldeia da Serra, Barueri - SP              ",1590.0,7.0,7.0,5500000,7.0,12.0,House,Alameda Cardeal,,Barueri SP,Morada dos Pássaros
2,28,                Casa de condominio com 3 Quartos a Venda 270m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-270m2-venda-RS1400000-id-2482182134/,"                Aldeia da Serra, Santana de Parnaíba - SP              ",270.0,3.0,2.0,1400000,3.0,4.0,House,,,Santana de Parnaíba SP,
2,30,                Casa de condominio com 4 Quartos a Venda 341m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-341m2-venda-RS1390000-id-2482351436/,"                Alameda Cotovia - Aldeia da Serra, Barueri - SP              ",341.0,4.0,2.0,1390000,4.0,4.0,House,Alameda Cotovia,,Barueri SP,Morada dos Pássaros
2,31,                Casa de condominio com 3 Quartos a Venda 322m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-322m2-venda-RS1300000-id-2482351780/,"                Alameda dos Cravos - Aldeia da Serra, Santana de Parnaíba - SP              ",322.0,3.0,3.0,1300000,3.0,4.0,House,Alameda dos Cravos,,Santana de Parnaíba SP,Morada das Flores
2,32,                Casa de condominio com 3 Quartos a Venda 413m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-413m2-venda-RS1890000-id-2482348456/,"                Alameda das Seringueiras - Aldeia da Serra, Santana de Parnaíba - SP              ",413.0,3.0,3.0,1890000,3.0,4.0,House,Alameda das Seringueiras,,Santana de Parnaíba SP,Morada dos Pinheiros
2,33,                LoteTerreno    a Venda 2520m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-santana-de-parnaiba-2520m2-venda-RS378000-id-2473777985/,"                Rua Monte Alto - Aldeia da Serra, Santana de Parnaíba - SP              ",2520.0,,,378000,,,Allotment,Rua Monte Alto,,Santana de Parnaíba SP,Ingaí
2,34,                Casa de condominio com 7 Quartos a Venda 1191m2            ,www.vivareal.com.br/imovel/casa-de-condominio-7-quartos-aldeia-da-serra-bairros-barueri-com-garagem-1191m2-venda-RS2850000-id-2445202416/,"                Alameda Azulão - Aldeia da Serra, Barueri - SP              ",1191.0,7.0,7.0,2850000,7.0,4.0,House,Alameda Azulão,,Barueri SP,Morada dos Pássaros
2,35,                Casa de condominio com 3 Quartos a Venda 279m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-279m2-venda-RS1280000-id-2482352484/,"                Alameda dos Jasmins - Aldeia da Serra, Santana de Parnaíba - SP              ",279.0,3.0,3.0,1280000,3.0,2.0,House,Alameda dos Jasmins,,Santana de Parnaíba SP,Morada das Flores
3,0,                Casa de condominio com 4 Quartos a Venda 400m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-400m2-venda-RS1470000-id-2482349454/,"                Alameda Andorinha - Aldeia da Serra, Barueri - SP              ",400.0,4.0,4.0,1470000,4.0,6.0,House,Alameda Andorinha,,Barueri SP,Morada dos Pássaros
3,2,                Casa de condominio com 4 Quartos a Venda 300m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-300m2-venda-RS1250000-id-2482351986/,"                Alameda das Paineiras - Aldeia da Serra, Santana de Parnaíba - SP              ",300.0,4.0,2.0,1250000,4.0,2.0,House,Alameda das Paineiras,,Santana de Parnaíba SP,Morada dos Pinheiros
3,3,                Casa de condominio com 4 Quartos a Venda 300m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-300m2-venda-RS1300000-id-2482351627/,"                Alameda Canário - Aldeia da Serra, Barueri - SP              ",300.0,4.0,2.0,1300000,4.0,4.0,House,Alameda Canário,,Barueri SP,Morada dos Pássaros
3,4,                Casa de condominio com 5 Quartos a Venda 460m2            ,www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aldeia-da-serra-bairros-barueri-com-garagem-460m2-venda-RS1350000-id-2482352012/,"                Alameda Caraceres - Aldeia da Serra, Barueri - SP              ",460.0,5.0,5.0,1350000,5.0,4.0,House,Alameda Caraceres,,Barueri SP,Morada dos Lagos
3,5,                Casa de condominio com 4 Quartos a Venda 360m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-360m2-venda-RS1300000-id-2482348458/,"                Alameda dos Cravos - Aldeia da Serra, Santana de Parnaíba - SP              ",360.0,4.0,2.0,1300000,4.0,4.0,House,Alameda dos Cravos,,Santana de Parnaíba SP,Morada das Flores
3,6,                Casa de condominio com 4 Quartos a Venda 508m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-508m2-venda-RS2500000-id-2482351490/,"                Alameda Garopaba - Aldeia da Serra, Barueri - SP              ",508.0,4.0,4.0,2500000,4.0,6.0,House,Alameda Garopaba,,Barueri SP,Morada dos Lagos
3,7,                Casa de condominio com 4 Quartos a Venda 510m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-510m2-venda-RS2250000-id-2482352010/,"                Alameda Sabiá - Aldeia da Serra, Barueri - SP              ",510.0,4.0,3.0,2250000,4.0,4.0,House,Alameda Sabiá,,Barueri SP,Morada dos Pássaros
3,8,                Casa de condominio com 4 Quartos a Venda 360m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-360m2-venda-RS1290000-id-2482351801/,"                Alameda dos Crisântemos - Aldeia da Serra, Santana de Parnaíba - SP              ",360.0,4.0,2.0,1290000,4.0,4.0,House,Alameda dos Crisântemos,,Santana de Parnaíba SP,Morada das Flores
3,9,                Casa de condominio com 4 Quartos a Venda 500m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-500m2-venda-RS3500000-id-2481111591/,"                Aldeia da Serra, Barueri - SP              ",500.0,4.0,4.0,3500000,4.0,2.0,House,,,Barueri SP,
3,10,                Casa de condominio com 4 Quartos a Venda 430m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-430m2-venda-RS2200000-id-2482352278/,"                Alameda Procion - Aldeia da Serra, Barueri - SP              ",430.0,4.0,4.0,2200000,4.0,6.0,House,Alameda Procion,,Barueri SP,Morada das Estrelas
3,11,                Casa de condominio com 4 Quartos a Venda 590m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-590m2-venda-RS3190000-id-2483408392/,"                Alameda Piratuba - Aldeia da Serra, Barueri - SP              ",590.0,4.0,4.0,3190000,4.0,4.0,House,Alameda Piratuba,,Barueri SP,Morada dos Lagos
3,12,                Casa de condominio com 4 Quartos a Venda 596m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-596m2-venda-RS2300000-id-2482351438/,"                Alameda Pica-Pau - Aldeia da Serra, Barueri - SP              ",596.0,4.0,4.0,2300000,4.0,3.0,House,Alameda PicaPau,,Barueri SP,Morada dos Pássaros
3,13,                Casa de condominio com 4 Quartos a Venda 740m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-740m2-venda-RS1980000-id-2471836928/,"                Alameda Altair - Aldeia da Serra, Barueri - SP              ",740.0,4.0,4.0,1980000,4.0,6.0,House,Alameda Altair,,Barueri SP,Morada das Estrelas
3,14,                Casa de condominio com 3 Quartos a Venda 320m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-320m2-venda-RS1500000-id-2472713420/,"                Alameda Sabiá - Aldeia da Serra, Barueri - SP              ",320.0,3.0,1.0,1500000,3.0,4.0,House,Alameda Sabiá,,Barueri SP,Morada dos Pássaros
3,15,                Casa de condominio com 5 Quartos a Venda 433m2            ,www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aldeia-da-serra-bairros-barueri-com-garagem-433m2-venda-RS2200000-id-2482348469/,"                Alameda Beija-Flor - Aldeia da Serra, Barueri - SP              ",433.0,5.0,5.0,2200000,5.0,4.0,House,Alameda BeijaFlor,,Barueri SP,Morada dos Pássaros
3,16,                Casa de condominio com 4 Quartos a Venda 416m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-416m2-venda-RS1850000-id-2482350518/,"                Alameda Riguel - Aldeia da Serra, Barueri - SP              ",416.0,4.0,4.0,1850000,4.0,8.0,House,Alameda Riguel,,Barueri SP,Morada das Estrelas
3,17,                Casa de condominio com 4 Quartos a Venda 280m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-280m2-venda-RS1090000-id-2482350171/,"                Alameda dos Manacás - Aldeia da Serra, Santana de Parnaíba - SP              ",280.0,4.0,2.0,1090000,4.0,4.0,House,Alameda dos Manacás,,Santana de Parnaíba SP,Morada das Flores
3,18,                Casa de condominio com 4 Quartos a Venda 348m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-348m2-venda-RS1400000-id-2482349921/,"                Alameda das Tulipas - Aldeia da Serra, Santana de Parnaíba - SP              ",348.0,4.0,2.0,1400000,4.0,4.0,House,Alameda das Tulipas,,Santana de Parnaíba SP,Morada das Flores
3,19,                Casa de condominio com 4 Quartos a Venda 450m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-450m2-venda-RS2000000-id-2486439562/,"                Avenida dos Lagos, 1585 - Aldeia da Serra, Barueri - SP              ",450.0,4.0,4.0,2000000,4.0,3.0,House,Avenida dos Lagos,1585.0,Barueri SP,Morada dos Lagos
3,20,                Casa de condominio com 3 Quartos a Venda 274m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-274m2-venda-RS1200000-id-2482349465/,"                Alameda das Castanheiras - Aldeia da Serra, Santana de Parnaíba - SP              ",274.0,3.0,1.0,1200000,3.0,4.0,House,Alameda das Castanheiras,,Santana de Parnaíba SP,Morada dos Pinheiros
3,21,                Casa de condominio com 4 Quartos a Venda 423m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-423m2-venda-RS1690000-id-2482351413/,"                Alameda das Azaléias - Aldeia da Serra, Santana de Parnaíba - SP              ",423.0,4.0,2.0,1690000,4.0,4.0,House,Alameda das Azaléias,,Santana de Parnaíba SP,Morada das Flores
3,22,                Casa de condominio com 3 Quartos a Venda 487m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-487m2-venda-RS1350000-id-2482349938/,"                Alameda Sabiá - Aldeia da Serra, Barueri - SP              ",487.0,3.0,2.0,1350000,3.0,4.0,House,Alameda Sabiá,,Barueri SP,Morada dos Pássaros
