page_seq,house_seq,title,url,address,area_m2,bedrooms,en_suites,price,bathrooms,parking_spaces,type,street_name,street_number,condo_name,city
8,26,                Casa com 4 Quartos a Venda 250m2            ,www.vivareal.com.br/imovel/casa-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-250m2-venda-RS1200000-id-2451979511/,"                Aldeia da Serra, Barueri - SP              ",250.0,4.0,2.0,1200000,2,4.0,Casa,,,,Barueri  SP
8,27,                LoteTerreno    a Venda 630m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-barueri-630m2-venda-RS770000-id-2485725194/,"                Aldeia da Serra, Barueri - SP              ",630.0,,,770000,,,Lote,,,,Barueri  SP
8,28,                Casa de condominio com 4 Quartos a Venda 306m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-306m2-venda-RS1200000-id-92433687/,"                Rua Xavantes - Aldeia da Serra, Santana de Parnaíba - SP              ",306.0,4.0,2.0,1200000,2,4.0,Casa,Rua Xavantes,,,Santana de Parnaíba  SP
8,29,                Casa de condominio com 4 Quartos a Venda 476m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-476m2-venda-RS1650000-id-86433559/,"                Alameda das Castanheiras - Aldeia da Serra, Santana de Parnaíba - SP              ",476.0,4.0,3.0,1650000,6,8.0,Casa,Alameda das Castanheiras,,,Santana de Parnaíba  SP
8,30,                Casa de condominio com 4 Quartos a Venda 380m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-380m2-venda-RS1600000-id-86433818/,"                Alameda dos Pinhos - Aldeia da Serra, Santana de Parnaíba - SP              ",380.0,4.0,2.0,1600000,5,4.0,Casa,Alameda dos Pinhos,,,Santana de Parnaíba  SP
8,31,                Casa de condominio com 3 Quartos a Venda 408m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-408m2-venda-RS1500000-id-86434732/,"                Alameda Pintarroxo - Aldeia da Serra, Barueri - SP              ",408.0,3.0,3.0,1500000,5,4.0,Casa,Alameda Pintarroxo,,,Barueri  SP
8,32,                Casa de condominio com 4 Quartos a Venda 417m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-417m2-venda-RS2200000-id-2482351704/,"                Alameda das Seringueiras - Aldeia da Serra, Santana de Parnaíba - SP              ",417.0,4.0,4.0,2200000,7,2.0,Casa,Alameda das Seringueiras,,,Santana de Parnaíba  SP
8,33,                Casa de condominio com 4 Quartos a Venda 430m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-430m2-venda-RS2100000-id-95246318/,"                Alameda Mangabeira - Aldeia da Serra, Barueri - SP              ",430.0,4.0,4.0,2100000,6,4.0,Casa,Alameda Mangabeira,,,Barueri  SP
8,34,                Casa de condominio com 3 Quartos a Venda 354m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-354m2-venda-RS1750000-id-86433690/,"                Alameda das Begônias - Aldeia da Serra, Santana de Parnaíba - SP              ",354.0,3.0,3.0,1750000,5,4.0,Casa,Alameda das Begônias,,,Santana de Parnaíba  SP
8,35,                Casa de condominio com 4 Quartos a Venda 270m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-270m2-venda-RS2500000-id-86434339/,"                Alameda Piratuba - Aldeia da Serra, Barueri - SP              ",270.0,4.0,4.0,2500000,6,6.0,Casa,Alameda Piratuba,,,Barueri  SP
